"ул. Авачинская, д. 01","ул. Авачинская, д. 02","ул. Авачинская, д. 03","ул. Авачинская, д. 04","ул. Авачинская, д. 05","ул. Авачинская, д. 06","ул. Авачинская, д. 07","ул. Авачинская, д. 08","ул. Авачинская, д. 09","ул. Авачинская, д. 10","ул. Авачинская, д. 11","ул. Авачинская, д. 12","ул. Авачинская, д. 13","ул. Авачинская, д. 14","ул. Авачинская, д. 15","ул. Авачинская, д. 16","ул. Авачинская, д. 17","ул. Авачинская, д. 18","ул. Авачинская, д. 19","ул. Авачинская, д. 20","ул. Авачинская, д. 21","ул. Авачинская, д. 22","ул. Авачинская, д. 23","ул. Авачинская, д. 24","ул. Авачинская, д. 25","ул. Авачинская, д. 26","ул. Авачинская, д. 27","ул. Авачинская, д. 28","ул. Авачинская, д. 29","ул. Авачинская, д. 30","ул. Авачинская, д. 31","ул. Авачинская, д. 32","ул. Авачинская, д. 33","ул. Авачинская, д. 34","ул. Авачинская, д. 35","ул. Авачинская, д. 36","ул. Авачинская, д. 37","ул. Авачинская, д. 38","ул. Авачинская, д. 39","ул. Авачинская, д. 40","ул. Авачинская, д. 41","ул. Авачинская, д. 42","ул. Авачинская, д. 43","ул. Авачинская, д. 44","ул. Авачинская, д. 45","ул. Авачинская, д. 46","ул. Авачинская, д. 47","ул. Авачинская, д. 48","ул. Авачинская, д. 49","ул. Авачинская, д. 50","ул. Авачинская, д. 51","ул. Авачинская, д. 52","ул. Авачинская, д. 53","ул. Авачинская, д. 54","ул. Авачинская, д. 55","ул. Авачинская, д. 56","ул. Авачинская, д. 57","ул. Авачинская, д. 58","ул. Авачинская, д. 59","ул. Авачинская, д. 60","ул. Авачинская, д. 61","ул. Авачинская, д. 62","ул. Авачинская, д. 63","ул. Авачинская, д. 64","ул. Авачинская, д. 65","ул. Авачинская, д. 66","ул. Авачинская, д. 67","ул. Авачинская, д. 68","ул. Авачинская, д. 69","ул. Авачинская, д. 70","ул. Авачинская, д. 71","ул. Авачинская, д. 72","ул. Авачинская, д. 73","ул. Авачинская, д. 74","ул. Авачинская, д. 75","ул. Авачинская, д. 76","ул. Авачинская, д. 77","ул. Авачинская, д. 78","ул. Авачинская, д. 79","ул. Авачинская, д. 80","ул. Авачинская, д. 81","ул. Авачинская, д. 82","ул. Авачинская, д. 83","ул. Авачинская, д. 84","ул. Авачинская, д. 85","ул. Авачинская, д. 86","ул. Авачинская, д. 87","ул. Авачинская, д. 88","ул. Авачинская, д. 89","ул. Авачинская, д. 90","ул. Авачинская, д. 91","ул. Авачинская, д. 92","ул. Авачинская, д. 93","ул. Авачинская, д. 94","ул. Авачинская, д. 95","ул. Авачинская, д. 96","ул. Авачинская, д. 97","ул. Авачинская, д. 98","ул. Авачинская, д. 99","ул. Авачинская, д. 100","ул. Кондратьева, д. 01","ул. Кондратьева, д. 02","ул. Кондратьева, д. 03","ул. Кондратьева, д. 04","ул. Кондратьева, д. 05","ул. Кондратьева, д. 06","ул. Кондратьева, д. 07","ул. Кондратьева, д. 08","ул. Кондратьева, д. 09","ул. Кондратьева, д. 10","ул. Кондратьева, д. 11","ул. Кондратьева, д. 12","ул. Кондратьева, д. 13","ул. Кондратьева, д. 14","ул. Кондратьева, д. 15","ул. Кондратьева, д. 16","ул. Кондратьева, д. 17","ул. Кондратьева, д. 18","ул. Кондратьева, д. 19","ул. Кондратьева, д. 20","ул. Кондратьева, д. 21","ул. Кондратьева, д. 22","ул. Кондратьева, д. 23","ул. Кондратьева, д. 24","ул. Кондратьева, д. 25","ул. Кондратьева, д. 26","ул. Кондратьева, д. 27","ул. Кондратьева, д. 28","ул. Кондратьева, д. 29","ул. Кондратьева, д. 30","ул. Кондратьева, д. 31","ул. Кондратьева, д. 32","ул. Кондратьева, д. 33","ул. Кондратьева, д. 34","ул. Кондратьева, д. 35","ул. Кондратьева, д. 36","ул. Кондратьева, д. 37","ул. Кондратьева, д. 38","ул. Кондратьева, д. 39","ул. Кондратьева, д. 40","ул. Кондратьева, д. 41","ул. Кондратьева, д. 42","ул. Кондратьева, д. 43","ул. Кондратьева, д. 44","ул. Кондратьева, д. 45","ул. Кондратьева, д. 46","ул. Кондратьева, д. 47","ул. Кондратьева, д. 48","ул. Кондратьева, д. 49","ул. Кондратьева, д. 50","ул. Кондратьева, д. 51","ул. Кондратьева, д. 52","ул. Кондратьева, д. 53","ул. Кондратьева, д. 54","ул. Кондратьева, д. 55","ул. Кондратьева, д. 56","ул. Кондратьева, д. 57","ул. Кондратьева, д. 58","ул. Кондратьева, д. 59","ул. Кондратьева, д. 60","ул. Кондратьева, д. 61","ул. Кондратьева, д. 62","ул. Кондратьева, д. 63","ул. Кондратьева, д. 64","ул. Кондратьева, д. 65","ул. Кондратьева, д. 66","ул. Кондратьева, д. 67","ул. Кондратьева, д. 68","ул. Кондратьева, д. 69","ул. Кондратьева, д. 70","ул. Кондратьева, д. 71","ул. Кондратьева, д. 72","ул. Кондратьева, д. 73","ул. Кондратьева, д. 74","ул. Кондратьева, д. 75","ул. Кондратьева, д. 76","ул. Кондратьева, д. 77","ул. Кондратьева, д. 78","ул. Кондратьева, д. 79","ул. Кондратьева, д. 80","ул. Кондратьева, д. 81","ул. Кондратьева, д. 82","ул. Кондратьева, д. 83","ул. Кондратьева, д. 84","ул. Кондратьева, д. 85","ул. Кондратьева, д. 86","ул. Кондратьева, д. 87","ул. Кондратьева, д. 88","ул. Кондратьева, д. 89","ул. Кондратьева, д. 90","ул. Кондратьева, д. 91","ул. Кондратьева, д. 92","ул. Кондратьева, д. 93","ул. Кондратьева, д. 94","ул. Кондратьева, д. 95","ул. Кондратьева, д. 96","ул. Кондратьева, д. 97","ул. Кондратьева, д. 98","ул. Кондратьева, д. 99","ул. Кондратьева, д. 100","ул. Причудная, д. 01","ул. Причудная, д. 02","ул. Причудная, д. 03","ул. Причудная, д. 04","ул. Причудная, д. 05","ул. Причудная, д. 06","ул. Причудная, д. 07","ул. Причудная, д. 08","ул. Причудная, д. 09","ул. Причудная, д. 10","ул. Причудная, д. 11","ул. Причудная, д. 12","ул. Причудная, д. 13","ул. Причудная, д. 14","ул. Причудная, д. 15","ул. Причудная, д. 16","ул. Причудная, д. 17","ул. Причудная, д. 18","ул. Причудная, д. 19","ул. Причудная, д. 20","ул. Причудная, д. 21","ул. Причудная, д. 22","ул. Причудная, д. 23","ул. Причудная, д. 24","ул. Причудная, д. 25","ул. Причудная, д. 26","ул. Причудная, д. 27","ул. Причудная, д. 28","ул. Причудная, д. 29","ул. Причудная, д. 30","ул. Причудная, д. 31","ул. Причудная, д. 32","ул. Причудная, д. 33","ул. Причудная, д. 34","ул. Причудная, д. 35","ул. Причудная, д. 36","ул. Причудная, д. 37","ул. Причудная, д. 38","ул. Причудная, д. 39","ул. Причудная, д. 40","ул. Причудная, д. 41","ул. Причудная, д. 42","ул. Причудная, д. 43","ул. Причудная, д. 44","ул. Причудная, д. 45","ул. Причудная, д. 46","ул. Причудная, д. 47","ул. Причудная, д. 48","ул. Причудная, д. 49","ул. Причудная, д. 50","ул. Причудная, д. 51","ул. Причудная, д. 52","ул. Причудная, д. 53","ул. Причудная, д. 54","ул. Причудная, д. 55","ул. Причудная, д. 56","ул. Причудная, д. 57","ул. Причудная, д. 58","ул. Причудная, д. 59","ул. Причудная, д. 60","ул. Причудная, д. 61","ул. Причудная, д. 62","ул. Причудная, д. 63","ул. Причудная, д. 64","ул. Причудная, д. 65","ул. Причудная, д. 66","ул. Причудная, д. 67","ул. Причудная, д. 68","ул. Причудная, д. 69","ул. Причудная, д. 70","ул. Причудная, д. 71","ул. Причудная, д. 72","ул. Причудная, д. 73","ул. Причудная, д. 74","ул. Причудная, д. 75","ул. Причудная, д. 76","ул. Причудная, д. 77","ул. Причудная, д. 78","ул. Причудная, д. 79","ул. Причудная, д. 80","ул. Причудная, д. 81","ул. Причудная, д. 82","ул. Причудная, д. 83","ул. Причудная, д. 84","ул. Причудная, д. 85","ул. Причудная, д. 86","ул. Причудная, д. 87","ул. Причудная, д. 88","ул. Причудная, д. 89","ул. Причудная, д. 90","ул. Причудная, д. 91","ул. Причудная, д. 92","ул. Причудная, д. 93","ул. Причудная, д. 94","ул. Причудная, д. 95","ул. Причудная, д. 96","ул. Причудная, д. 97","ул. Причудная, д. 98","ул. Причудная, д. 99","ул. Причудная, д. 100"
0,25,58,84,112,147,187,203,240,284,313,328,362,402,421,465,477,518,534,572,605,625,660,703,727,755,775,795,845,860,893,921,963,990,1020,1046,1089,1109,1127,1174,1201,1231,1255,1293,1312,1338,1378,1414,1453,1477,1499,1521,1562,1588,1631,1643,1690,1715,1734,1780,1801,1823,1859,1892,1934,1947,1990,2013,2041,2073,2099,2137,2148,2204,2206,2235,2285,2308,2341,2381,2386,2421,2475,2475,2528,2540,2578,2603,2640,2655,2713,2715,2752,2803,2824,2858,2867,2907,2951,2984,3002,3026,3048,3087,3110,3164,3189,3219,3232,3285,3285,3332,3366,3379,3426,3449,3477,3509,3552,3561,3587,3643,3667,3679,3715,3737,3790,3813,3838,3863,3913,3932,3956,3987,4022,4041,4092,4119,4127,4161,4211,4221,4258,4275,4315,4345,4386,4420,4438,4484,4490,4518,4555,4605,4616,4665,4688,4697,4739,4766,4808,4845,4857,4881,4926,4944,4968,4995,5039,5076,5106,5121,5169,5189,5217,5261,5289,5295,5351,5366,5387,5441,5460,5486,5523,5544,5573,5599,5637,5675,5697,5722,5761,5797,5810,5853,5873,5921,5940,5972,6003,6030,6070,6092,6114,6142,6182,6210,6250,6260,6297,6317,6353,6390,6415,6453,6478,6508,6525,6581,6594,6633,6647,6703,6733,6755,6779,6802,6834,6862,6887,6941,6969,6992,7009,7056,7077,7097,7126,7185,7213,7241,7247,7280,7321,7352,7384,7416,7451,7485,7501,7535,7553,7579,7615,7653,7681,7719,7732,7781,7812,7828,7868,7890,7905,7951,7989,7995,8037,8070,8088,8142,8172,8195,8218,8261,8293,8316,8351,8385,8401,8417,8470,8480,8520,8562,8586,8625,8637,8671,8709,8741,8768,8803,8829,8843,8876,8919,8928,8964
25,0,34,66,78,128,143,170,222,235,282,286,322,371,386,428,435,490,500,540,571,596,632,661,704,719,738,786,824,844,866,888,932,974,1000,1029,1059,1086,1106,1144,1181,1213,1223,1274,1285,1335,1357,1376,1399,1448,1481,1498,1539,1550,1598,1610,1642,1694,1704,1750,1758,1790,1817,1851,1884,1924,1948,1986,2013,2026,2078,2115,2142,2146,2183,2221,2255,2283,2319,2355,2375,2391,2422,2446,2505,2510,2554,2579,2621,2627,2668,2686,2732,2772,2781,2809,2862,2889,2914,2947,2965,2986,3019,3059,3077,3126,3139,3170,3222,3229,3279,3300,3318,3371,3377,3423,3448,3467,3522,3527,3585,3600,3645,3663,3697,3720,3759,3789,3804,3835,3871,3895,3915,3967,3998,4035,4045,4075,4118,4128,4165,4196,4216,4263,4297,4310,4338,4367,4395,4431,4464,4515,4516,4548,4595,4627,4643,4691,4717,4725,4762,4793,4845,4858,4879,4910,4936,4993,5000,5028,5070,5103,5128,5175,5199,5210,5248,5270,5319,5348,5362,5408,5422,5472,5488,5512,5543,5568,5597,5643,5671,5706,5719,5750,5787,5821,5861,5888,5899,5951,5977,5985,6023,6046,6100,6125,6150,6179,6218,6235,6256,6291,6345,6354,6394,6406,6449,6488,6507,6545,6575,6596,6634,6664,6681,6730,6735,6793,6821,6826,6864,6903,6915,6959,6982,7017,7050,7074,7096,7127,7185,7191,7222,7261,7303,7318,7357,7391,7417,7428,7476,7505,7521,7547,7575,7617,7646,7671,7711,7754,7773,7812,7817,7872,7881,7933,7955,7969,8018,8053,8079,8098,8137,8163,8179,8228,8260,8288,8315,8345,8372,8394,8430,8446,8490,8525,8536,8583,8617,8637,8676,8699,8731,8775,8790,8834,8849,8884,8909,8949
58,34,0,37,56,96,115,137,167,206,247,264,311,343,371,387,423,454,491,524,525,583,586,637,660,698,707,764,784,795,846,855,905,940,973,977,1022,1035,1071,1116,1130,1170,1214,1223,1259,1284,1319,1353,1366,1414,1438,1463,1488,1537,1571,1598,1612,1635,1676,1714,1733,1763,1792,1831,1846,1900,1917,1943,1991,1999,2044,2082,2102,2143,2150,2196,2232,2238,2292,2305,2333,2370,2402,2432,2472,2486,2526,2544,2586,2605,2642,2658,2701,2719,2770,2790,2815,2847,2871,2917,2932,2977,2991,3029,3074,3076,3121,3138,3182,3197,3245,3259,3309,3336,3352,3376,3429,3450,3491,3516,3544,3557,3610,3640,3652,3694,3726,3759,3769,3808,3854,3861,3896,3917,3970,3977,4022,4045,4066,4113,4139,4175,4201,4241,4252,4288,4330,4356,4395,4416,4453,4456,4497,4516,4549,4579,4609,4642,4695,4708,4746,4785,4790,4838,4872,4885,4907,4957,4971,5018,5043,5084,5088,5126,5174,5199,5217,5255,5265,5313,5340,5378,5396,5438,5449,5505,5509,5559,5585,5616,5639,5683,5704,5721,5750,5791,5807,5865,5869,5925,5928,5958,6001,6033,6057,6081,6127,6158,6185,6214,6249,6267,6308,6332,6353,6380,6415,6459,6485,6495,6539,6579,6607,6618,6648,6679,6712,6742,6766,6806,6853,6869,6914,6942,6963,6984,7020,7062,7078,7115,7147,7183,7213,7225,7271,7279,7328,7349,7378,7405,7442,7464,7498,7527,7560,7580,7614,7643,7686,7701,7742,7784,7812,7837,7845,7887,7924,7960,7965,8014,8027,8067,8093,8142,8145,8188,8209,8237,8283,8322,8346,8355,8387,8429,8450,8495,8528,8549,8571,8624,8628,8655,8698,8728,8772,8801,8817,8862,8872,8911
84,66,37,0,20,51,104,119,135,177,216,238,274,293,344,372,380,421,444,492,515,547,574,586,630,671,695,728,749,781,822,837,863,910,931,955,982,1012,1048,1094,1116,1144,1168,1210,1228,1260,1293,1321,1351,1366,1412,1430,1461,1487,1521,1555,1602,1613,1642,1676,1697,1736,1775,1807,1817,1868,1876,1923,1945,1981,1999,2039,2062,2087,2126,2148,2190,2220,2259,2275,2319,2340,2359,2409,2434,2451,2498,2506,2537,2570,2622,2643,2678,2712,2739,2766,2780,2821,2858,2866,2905,2950,2963,2993,3020,3055,3083,3127,3140,3189,3201,3227,3280,3293,3318,3353,3398,3429,3438,3478,3514,3555,3568,3587,3643,3672,3684,3709,3746,3783,3821,3840,3855,3894,3925,3956,3989,4024,4037,4090,4096,4139,4168,4203,4241,4262,4294,4318,4346,4394,4418,4442,4483,4499,4540,4572,4577,4606,4643,4677,4719,4727,4772,4815,4817,4848,4904,4934,4957,4994,5006,5038,5082,5104,5125,5145,5194,5228,5241,5289,5319,5345,5369,5408,5436,5458,5495,5513,5561,5571,5614,5642,5685,5686,5736,5768,5779,5822,5837,5892,5902,5955,5971,5987,6022,6057,6094,6120,6158,6183,6215,6233,6278,6300,6339,6361,6378,6414,6458,6471,6512,6534,6561,6586,6644,6648,6676,6724,6764,6789,6817,6832,6873,6885,6939,6964,6989,7026,7045,7092,7111,7155,7184,7211,7239,7247,7305,7314,7350,7367,7397,7436,7472,7490,7541,7545,7604,7611,7654,7674,7723,7744,7780,7787,7823,7846,7897,7914,7949,7975,8010,8028,8069,8109,8130,8157,8195,8208,8242,8291,8311,8348,8380,8396,8439,8461,8503,8522,8561,8583,8624,8645,8662,8709,8731,8771,8776,8810,8864,8879
112,78,56,20,0,25,65,94,122,146,176,202,242,272,313,336,369,398,427,460,472,509,534,561,594,632,664,698,728,750,789,810,848,868,890,945,950,987,1017,1057,1075,1119,1144,1164,1185,1229,1253,1300,1330,1362,1371,1400,1435,1470,1507,1530,1567,1581,1614,1664,1678,1722,1736,1778,1811,1824,1872,1884,1934,1955,1966,2013,2035,2064,2101,2136,2161,2187,2233,2258,2285,2323,2343,2361,2412,2421,2454,2500,2522,2549,2590,2606,2646,2675,2705,2723,2763,2803,2817,2843,2884,2908,2953,2960,3000,3026,3069,3080,3105,3162,3190,3207,3250,3273,3308,3327,3354,3376,3416,3447,3469,3499,3553,3559,3603,3622,3671,3692,3713,3742,3795,3804,3853,3879,3890,3922,3967,3998,4034,4038,4095,4100,4154,4157,4211,4244,4273,4283,4333,4339,4378,4396,4455,4457,4493,4528,4564,4596,4633,4647,4685,4710,4731,4759,4801,4824,4860,4875,4910,4939,4968,5003,5043,5070,5095,5143,5153,5200,5217,5255,5271,5297,5344,5371,5385,5419,5448,5500,5511,5553,5573,5625,5627,5662,5689,5724,5748,5777,5823,5838,5892,5903,5929,5982,5992,6045,6048,6087,6107,6136,6173,6219,6231,6271,6312,6335,6352,6384,6430,6446,6487,6508,6551,6557,6595,6631,6656,6701,6711,6761,6778,6801,6829,6871,6892,6926,6968,6988,7009,7037,7090,7108,7138,7177,7204,7237,7265,7278,7328,7340,7383,7395,7431,7483,7500,7518,7562,7590,7627,7654,7686,7718,7740,7771,7798,7827,7845,7891,7927,7947,7987,8015,8030,8060,8105,8143,8159,8191,8211,8258,8285,8314,8334,8374,8393,8440,8462,8484,8525,8562,8581,8605,8644,8668,8714,8743,8748,8805,8812,8849
147,128,96,51,25,0,35,64,95,133,138,177,222,231,262,292,330,367,377,414,447,484,513,547,555,592,633,649,695,729,752,778,810,842,881,891,916,964,984,1032,1038,1067,1116,1133,1176,1209,1238,1248,1290,1319,1342,1391,1405,1435,1456,1499,1533,1558,1581,1628,1638,1693,1718,1739,1778,1793,1817,1869,1879,1932,1947,1978,2000,2054,2058,2102,2124,2170,2175,2216,2254,2275,2309,2338,2358,2392,2435,2452,2501,2519,2541,2566,2602,2631,2679,2692,2720,2747,2797,2818,2860,2884,2922,2952,2982,2990,3017,3067,3097,3133,3137,3178,3203,3244,3269,3285,3324,3355,3379,3405,3447,3483,3511,3555,3569,3612,3643,3648,3677,3710,3739,3765,3825,3828,3876,3902,3919,3951,3983,4013,4056,4090,4104,4126,4172,4209,4228,4270,4277,4331,4339,4393,4411,4441,4476,4488,4535,4571,4577,4606,4659,4665,4721,4752,4779,4791,4828,4849,4896,4907,4952,4983,5015,5044,5055,5109,5124,5151,5195,5214,5264,5284,5306,5330,5372,5414,5415,5449,5490,5510,5536,5582,5605,5627,5656,5710,5724,5752,5800,5819,5835,5894,5918,5944,5974,5999,6026,6051,6077,6114,6159,6173,6214,6248,6280,6306,6322,6358,6383,6426,6459,6486,6516,6554,6585,6591,6640,6655,6685,6720,6759,6795,6825,6839,6875,6892,6940,6950,7000,7035,7049,7073,7115,7144,7177,7186,7241,7251,7293,7321,7364,7383,7396,7428,7464,7495,7527,7572,7592,7617,7641,7668,7710,7750,7762,7802,7815,7872,7876,7933,7936,7992,8004,8033,8075,8105,8122,8175,8189,8217,8248,8292,8306,8333,8364,8393,8418,8448,8486,8528,8553,8593,8615,8633,8669,8700,8730,8747,8798,8810
187,143,115,104,65,35,0,33,51,96,127,154,173,225,241,258,287,340,350,383,428,463,493,499,541,558,603,632,651,683,734,749,788,797,839,870,886,923,954,1005,1015,1058,1086,1109,1139,1163,1198,1244,1275,1288,1334,1363,1369,1417,1427,1464,1506,1540,1563,1600,1632,1651,1685,1697,1741,1784,1812,1838,1869,1901,1927,1940,1966,2012,2051,2077,2095,2131,2162,2180,2229,2237,2289,2319,2345,2376,2385,2421,2445,2486,2535,2558,2576,2598,2655,2684,2712,2743,2774,2800,2807,2853,2889,2910,2925,2972,2992,3015,3045,3094,3115,3136,3169,3221,3255,3258,3303,3343,3360,3385,3435,3441,3495,3518,3544,3555,3609,3616,3648,3682,3715,3757,3770,3812,3849,3875,3890,3940,3946,3982,4010,4050,4089,4108,4125,4181,4204,4215,4275,4303,4328,4352,4371,4422,4432,4456,4494,4536,4559,4593,4632,4665,4666,4719,4748,4773,4790,4834,4851,4885,4905,4962,4977,4998,5042,5075,5094,5125,5171,5180,5226,5244,5267,5319,5338,5361,5415,5429,5451,5478,5515,5558,5580,5624,5652,5684,5705,5719,5754,5797,5810,5844,5885,5925,5943,5956,6010,6041,6051,6097,6110,6141,6173,6204,6239,6264,6310,6337,6347,6402,6432,6436,6479,6502,6535,6582,6611,6615,6660,6699,6722,6737,6766,6817,6826,6879,6887,6927,6954,6991,7008,7049,7088,7100,7127,7171,7209,7244,7250,7277,7325,7336,7393,7424,7441,7469,7512,7525,7554,7576,7612,7646,7667,7695,7740,7767,7815,7820,7855,7903,7927,7936,7986,8008,8036,8055,8100,8144,8157,8200,8221,8241,8292,8320,8344,8360,8403,8442,8464,8492,8505,8562,8595,8611,8637,8655,8710,8728,8759,8780
203,170,137,119,94,64,33,0,34,51,97,115,135,180,210,230,275,290,316,368,383,426,444,488,524,525,568,606,630,658,691,734,743,795,797,847,880,889,941,956,977,1015,1038,1090,1118,1155,1182,1205,1215,1265,1303,1329,1335,1376,1416,1442,1477,1507,1528,1572,1588,1621,1657,1678,1699,1755,1780,1792,1845,1853,1880,1919,1949,1968,2019,2026,2084,2111,2142,2154,2199,2218,2265,2283,2323,2343,2384,2402,2442,2453,2491,2530,2536,2591,2618,2631,2662,2702,2735,2753,2800,2825,2851,2880,2910,2954,2959,2996,3027,3064,3075,3108,3147,3187,3208,3230,3261,3300,3343,3349,3402,3412,3446,3495,3498,3539,3561,3586,3637,3655,3701,3715,3749,3777,3823,3854,3879,3885,3934,3945,3993,4014,4039,4082,4118,4125,4168,4201,4240,4266,4275,4317,4356,4391,4422,4450,4469,4491,4515,4556,4589,4630,4656,4693,4722,4738,4780,4810,4824,4867,4886,4920,4957,4990,5020,5054,5080,5114,5116,5155,5177,5223,5246,5279,5303,5342,5378,5391,5432,5466,5501,5515,5561,5587,5609,5633,5660,5707,5739,5758,5778,5813,5849,5866,5909,5951,5955,6008,6015,6064,6092,6120,6135,6170,6206,6245,6275,6306,6332,6369,6383,6422,6445,6488,6507,6533,6565,6590,6636,6656,6700,6728,6746,6790,6818,6851,6882,6914,6945,6951,6980,7018,7037,7072,7121,7154,7158,7211,7225,7266,7297,7306,7364,7386,7399,7441,7464,7511,7518,7555,7592,7610,7638,7675,7714,7738,7783,7785,7845,7871,7877,7907,7952,7982,7998,8048,8085,8112,8125,8168,8203,8230,8256,8277,8313,8336,8377,8407,8423,8448,8477,8532,8545,8567,8596,8632,8657,8713,8732,8747
240,222,167,135,122,95,51,34,0,43,53,93,118,140,177,205,242,282,299,337,348,379,431,456,468,517,526,556,596,641,653,679,722,741,794,800,848,859,898,918,971,985,1008,1063,1077,1123,1127,1168,1211,1231,1263,1286,1305,1354,1395,1402,1436,1472,1488,1542,1567,1584,1625,1651,1671,1707,1732,1757,1808,1820,1870,1902,1907,1945,1976,2022,2032,2060,2109,2118,2163,2197,2210,2247,2295,2297,2342,2365,2394,2415,2475,2478,2514,2537,2565,2606,2650,2663,2686,2745,2759,2802,2827,2865,2872,2924,2926,2964,3013,3022,3065,3091,3124,3148,3194,3207,3253,3263,3312,3316,3370,3384,3421,3444,3490,3498,3537,3558,3587,3636,3674,3675,3716,3737,3786,3806,3848,3868,3907,3915,3971,3991,4013,4063,4083,4098,4133,4178,4185,4229,4251,4305,4308,4348,4372,4403,4455,4471,4513,4534,4553,4587,4617,4663,4684,4721,4737,4756,4812,4840,4875,4888,4929,4942,4967,5001,5038,5085,5109,5122,5148,5178,5215,5236,5273,5320,5346,5378,5389,5422,5463,5500,5533,5536,5579,5603,5636,5677,5696,5724,5758,5785,5806,5852,5888,5901,5942,5964,6007,6032,6070,6091,6130,6135,6168,6210,6228,6285,6307,6315,6372,6390,6421,6456,6466,6516,6540,6572,6594,6625,6661,6688,6733,6752,6788,6809,6845,6867,6900,6925,6968,6992,7020,7053,7077,7113,7147,7162,7197,7222,7268,7300,7335,7342,7394,7419,7441,7476,7485,7535,7561,7583,7622,7646,7695,7699,7738,7765,7804,7824,7846,7883,7920,7937,7969,8008,8051,8062,8092,8120,8162,8177,8212,8255,8279,8317,8328,8384,8409,8422,8462,8477,8505,8564,8593,8606,8627,8673,8712,8722
284,235,206,177,146,133,96,51,43,0,40,61,76,122,163,194,209,238,266,300,322,366,393,432,462,471,510,550,583,600,631,645,680,714,763,794,818,845,877,912,919,952,995,1018,1046,1077,1122,1128,1180,1208,1222,1254,1298,1311,1335,1393,1418,1426,1458,1486,1521,1554,1583,1619,1641,1665,1697,1726,1774,1786,1840,1875,1878,1911,1950,1991,2020,2047,2082,2115,2144,2152,2200,2226,2252,2293,2302,2329,2383,2391,2426,2473,2495,2535,2560,2567,2611,2633,2659,2692,2735,2775,2790,2828,2844,2883,2909,2939,2973,3014,3040,3045,3075,3120,3135,3179,3198,3248,3271,3306,3345,3371,3390,3408,3456,3478,3522,3551,3582,3591,3629,3663,3692,3715,3750,3779,3818,3831,3865,3913,3919,3949,3980,4022,4049,4089,4116,4139,4185,4215,4215,4274,4291,4327,4338,4383,4414,4436,4474,4504,4527,4550,4578,4619,4654,4674,4718,4729,4783,4793,4845,4866,4899,4928,4937,4976,5017,5026,5074,5105,5119,5157,5186,5221,5248,5294,5322,5341,5378,5394,5415,5455,5488,5509,5549,5585,5621,5640,5678,5714,5734,5775,5804,5817,5854,5872,5905,5932,5983,6013,6015,6053,6096,6127,6154,6182,6211,6248,6266,6310,6337,6347,6379,6413,6459,6478,6499,6532,6557,6598,6622,6645,6693,6729,6744,6789,6806,6849,6858,6894,6941,6969,6977,7007,7044,7069,7096,7138,7156,7185,7229,7274,7304,7322,7346,7371,7411,7449,7468,7496,7517,7563,7579,7632,7637,7666,7705,7745,7761,7786,7836,7857,7878,7925,7958,7977,8022,8045,8058,8101,8122,8147,8187,8209,8245,8267,8301,8347,8383,8404,8438,8453,8498,8528,8546,8578,8604,8635,8656,8695
